房源名称,户型,面向,面积,所属区,地址,价钱
合租·世纪朝阳,4居室,西北卧,10㎡,锦江区,锦江九眼桥,1030 元/月
合租·世纪朝阳,4居室,西卧,20㎡,锦江区,锦江九眼桥,1460 元/月
整租·财富中心,1室1厅,南,50㎡,锦江区,锦江盐市口,2500 元/月
合租·世纪朝阳,3居室,南卧,12㎡,锦江区,锦江九眼桥,1290 元/月
合租·上行汇锦,4居室,东南卧,11㎡,锦江区,锦江合江亭,1530 元/月
合租·上行汇锦,4居室,东卧,12㎡,锦江区,锦江合江亭,1260 元/月
合租·世纪朝阳,3居室,西南卧,12㎡,锦江区,锦江九眼桥,1290 元/月
学道街42号,2室1厅,南/北,57㎡,锦江区,锦江盐市口,2200 元/月
天紫界,2室1厅,北,68㎡,锦江区,锦江九眼桥,3800 元/月
合租·世纪朝阳,3居室,东南卧,16㎡,锦江区,锦江九眼桥,1460 元/月
时代豪庭一期,2室1厅,东南,106㎡,锦江区,锦江合江亭,6200 元/月
合租·世纪朝阳,3居室,东南卧,16㎡,锦江区,锦江九眼桥,1460 元/月
独栋·乐乎城市青年社区,春熙路店,特价房,南,锦江区,,1900-2600 元/月
合租·世纪朝阳,3居室,东南卧,12㎡,锦江区,锦江九眼桥,1230 元/月
独栋·乐乎城市青年社区,春熙路店,A户型,北,锦江区,,2000-2500 元/月
合租·乐天圣苑,3居室,东南卧,8㎡,锦江区,锦江东大路,960 元/月
天紫界,1室1厅,西南,30㎡,锦江区,锦江九眼桥,2200 元/月
合租·乐天圣苑,3居室,西南卧,8㎡,锦江区,锦江东大路,930 元/月
天紫界,1室1厅,东北,63㎡,锦江区,锦江九眼桥,3000 元/月
合租·乐天圣苑,3居室,东南卧,8㎡,锦江区,锦江东大路,1160 元/月
绿地468云玺四期,2室1厅,东南,77㎡,锦江区,锦江三圣乡,2600 元/月
天紫界,2室1厅,东南,59㎡,锦江区,锦江九眼桥,3200 元/月
合租·乐天圣苑,3居室,西北卧,8㎡,锦江区,锦江东大路,990 元/月
天紫界,2室1厅,西北,68㎡,锦江区,锦江九眼桥,3000 元/月
整租·蓉上坊一期,1室1厅,南,70㎡,锦江区,锦江合江亭,3160 元/月
合租·乐天圣苑,3居室,东南卧,8㎡,锦江区,锦江东大路,990 元/月
合租·莲花逸都,3居室,西北卧,12㎡,锦江区,锦江九眼桥,1230 元/月
合租·莲花逸都,4居室,西北卧,14㎡,锦江区,锦江九眼桥,1390 元/月
整租·东城攻略,1室1厅,东南,49㎡,锦江区,锦江九眼桥,2200 元/月
合租·莲花逸都,3居室,西北卧,13㎡,锦江区,锦江九眼桥,1390 元/月
合租·摩玛城,3居室,东北卧,13㎡,锦江区,锦江三官堂,1290 元/月
合租·莲花逸都,3居室,西南卧,10㎡,锦江区,锦江九眼桥,1330 元/月
合租·绿地中心云锦468,5居室,东卧,17㎡,锦江区,锦江三圣乡,1090 元/月
合租·莲花逸都,3居室,西卧,14㎡,锦江区,锦江九眼桥,1430 元/月
合租·绿地中心云锦468,5居室,东卧,12㎡,锦江区,锦江三圣乡,990 元/月
大慈寺路28号,3室1厅,东南,134㎡,锦江区,锦江红星路,4600 元/月
合租·绿地中心云锦468,5居室,东卧,10㎡,锦江区,锦江三圣乡,930 元/月
合租·绿地中心云锦468,5居室,西卧,10㎡,锦江区,锦江三圣乡,930 元/月
督院街54号,3室1厅,南,100㎡,锦江区,锦江盐市口,3300 元/月
合租·绿地中心云锦468,5居室,东卧,17㎡,锦江区,锦江三圣乡,1090 元/月
锦上花,1室1厅,南/北,55㎡,锦江区,锦江合江亭,2200 元/月
合租·澳龙名城,6居室,东卧,13㎡,锦江区,锦江攀成钢,1000 元/月
合租·澳龙名城,6居室,南卧,8㎡,锦江区,锦江攀成钢,650 元/月
合租·澳龙名城,6居室,东南卧,11㎡,锦江区,锦江攀成钢,950 元/月
合租·东洪广厦,3居室,西卧,10㎡,锦江区,锦江三圣乡,930 元/月
整租·绿地468公馆二期,4室1厅,东,112㎡,锦江区,锦江三圣乡,2800 元/月
合租·东洪广厦,3居室,西卧,14㎡,锦江区,锦江三圣乡,1090 元/月
整租·财富中心,2室1厅,东,65㎡,锦江区,锦江盐市口,3100 元/月
合租·华宇广场,6居室,东南卧,12㎡,锦江区,锦江沙河堡,1050 元/月
世纪朝阳,2室1厅,东南,91㎡,锦江区,锦江九眼桥,3200 元/月
合租·望江橡树林一期,3居室,南卧,14㎡,锦江区,锦江三官堂,1390 元/月
整租·绿地468公馆二期,2室1厅,南,77㎡,锦江区,锦江三圣乡,2400 元/月
合租·新希望锦官阁,5居室,北卧,9㎡,锦江区,锦江沙河堡,860 元/月
合租·新希望锦官阁,4居室,东卧,9㎡,锦江区,锦江沙河堡,890 元/月
吉宝凌云峰阁,2室2厅,西,99㎡,锦江区,锦江攀成钢,4500 元/月
合租·蜀都花园,4居室,西卧,18㎡,锦江区,锦江水碾河,1360 元/月
恒大都汇华庭,1室1厅,东南,66㎡,锦江区,锦江合江亭,4500 元/月
合租·望江水岸,6居室,东卧,13㎡,锦江区,锦江沙河堡,1000 元/月
合租·中港CCPARK,4居室,北卧,9㎡,锦江区,锦江东湖,1060 元/月
合租·望江水岸,6居室,东南卧,11㎡,锦江区,锦江沙河堡,800 元/月
独栋·朗诗寓,锦华万达店,简约风,南,锦江区,,1995-2260 元/月
整租·摩根中心,2室1厅,东南,88㎡,锦江区,锦江九眼桥,4000 元/月
独栋·朗诗寓,锦华万达店,现代风,南,锦江区,,1895-2260 元/月
合租·上行汇锦,5居室,南卧,18㎡,锦江区,锦江合江亭,1350 元/月
独栋·朗诗寓,锦华万达店,简欧风,南,锦江区,,1995-2280 元/月
中道街88号院,3室1厅,东南,95㎡,锦江区,锦江红星路,2400 元/月
合租·朝阳名宅,3居室,南卧,10㎡,锦江区,锦江九眼桥,1130 元/月
天紫界,2室1厅,东南,80㎡,锦江区,锦江九眼桥,3800 元/月
合租·中港CCPARK,4居室,西北卧,15㎡,锦江区,锦江东湖,1230 元/月
合租·莲花逸都,4居室,南卧,6㎡,锦江区,锦江九眼桥,1090 元/月
独栋·朗诗寓,琉璃场店,北欧风A,/,锦江区,,1350-1598 元/月
恒大都汇华庭,1室1厅,西,80㎡,锦江区,锦江合江亭,6000 元/月
世纪朝阳,2室1厅,东南,89㎡,锦江区,锦江九眼桥,2800 元/月
合租·中港CCPARK,4居室,西北卧,10㎡,锦江区,锦江东湖,900 元/月
天紫界,1室1厅,西南,62㎡,锦江区,锦江九眼桥,3300 元/月
莲花新区,1室0厅,东南,17㎡,锦江区,锦江莲花,700 元/月
合租·中港CCPARK,4居室,西北卧,15㎡,锦江区,锦江东湖,1200 元/月
合租·中港CCPARK,4居室,西北卧,15㎡,锦江区,锦江东湖,1200 元/月
龙井苑,1室1厅,南,50㎡,锦江区,锦江合江亭,1700 元/月
合租·莲花逸都,4居室,东南卧,15㎡,锦江区,锦江九眼桥,1150 元/月
合租·莲花逸都,4居室,东南卧,10㎡,锦江区,锦江九眼桥,900 元/月
时代豪庭一期,2室1厅,南,116㎡,锦江区,锦江合江亭,5000 元/月
合租·东方桂苑,4居室,东南卧,12㎡,锦江区,锦江九眼桥,900 元/月
合租·莲花新区,4居室,西南卧,10㎡,锦江区,锦江莲花,1060 元/月
合租·镏金岁月,3居室,南卧,10㎡,锦江区,锦江攀成钢,1160 元/月
合租·镏金岁月,3居室,南卧,11㎡,锦江区,锦江攀成钢,1260 元/月
合租·镏金岁月,3居室,南卧,10㎡,锦江区,锦江攀成钢,1160 元/月
合租·镏金岁月,3居室,南卧,8㎡,锦江区,锦江攀成钢,1030 元/月
合租·镏金岁月,3居室,南卧,9㎡,锦江区,锦江攀成钢,990 元/月
合租·ICC凯旋门,4居室,东北卧,10㎡,锦江区,锦江东大路,1030 元/月
东润风尚,1室1厅,西南,48㎡,锦江区,锦江静居寺,1700 元/月
整租·乐天圣苑,4室1厅,东南/南,136㎡,锦江区,锦江东大路,7500 元/月
翡翠城四期,2室1厅,东南,89㎡,锦江区,锦江东湖,3600 元/月
财富中心,1室1厅,东南,50㎡,锦江区,锦江盐市口,2200 元/月
